Nama,No telepon 
PT.LINTAS NIAGA ABADI,+62-31-501-0953
MAHADAYA GROUP,62317270714770600000
UDTRIJAYA,81358313088 (+62-81358313088)
RISCO JAYA,62315613968
WATOB,8156710546 (+62-8156710546)
CREATIF,318495072 (+62-318495072)
WANGI ABADI,623170993168
MEDIA 9 DV,623416260001
JUAL AGLAONEMA,2519160387 (+62-2519160387)
ADAPTER LENSA KAMERA,8885523434 (+62-8885523434)
UDINTISARILESTARI,+62-0342-562128
M69_GARMENT,"0318431658, 03170160525,0318434938 (+62-0318431658, 03170160525,0318434938)"
"SARANA BAKTI, CV",62 031 8416160
GOLDEN EGG,+62-31-60170097
PT.KHARISMA HARVEST INDUSTRY,+62 31 7242 8656
EVISION CCTV,62-31-71234426
UTOMO TEKNIK,+62 31 71095888
OMEGA MEDIATAMA,62-31-5963266
PERUSAHAAN KELUARGA,85234092930 (+62-85234092930)
ALUMAGUDA,622182607859
CV. PELITA MANDIRI,62-21-30511320
BNL PATENT INTELLECTUAL PROPERTY,+6231 5053314
"VALIDSOFT - DATABASE CONSULTANT AND SOFTWARE PROGRAMMING, HARDWARE SUPPLIER",62-341-6295777
YANS CELLULLAR,"031-71270516,031-5040181 (+62-031-71270516,031-5040181)"
MAESTRO ELECTRIC,628155084233
BGNG,85850866825 (+62-85850866825)
NATAKITA,818500515 (+62-818500515)
EJK ENTERPRISE,81331497123 (+62-81331497123)
CLUB SALSA SURABAYA,81330583694 (+62-81330583694)
DVD ONLINE SHOP,62-31-70485000
ROY SUGIARTO FASHION DESIGN,0341 561181 (+62-0341 561181)
CV. INTI DHARMA SOLUSI,623170428311;62318924252
DUTA AMANA PERSADA,818397154 (+62-818397154)
FF-FARM,62-811355500
SINAR BAJA ELECTRIC III,62317492733
P.T.SUPA SURYA NIAGA,62 31 8014648
CV. BAHTERA JAYA ELECTRONICS,+62-31-5913380. e-mail : stavolt_ichigawa@yahoo.co.id
CV.TRANS TRITUNGGAL JAYA,6285649612015
TATAINDO KARYA,62 31 70398766
FAVORITE TRADING COMPANY,031-8708059 (+62-031-8708059)
PT. GRASINDO UTAMA,8881542744 (+62-8881542744)
RR JAYA,623170671983
Undefined,623170671983
USAHA JAYA ELEKTRONIK,+62-341-7050182/+62-81-252-98910
55 ONLINE,+62816.1518.5555
PT. MIRANTI ADHI PERSADA,62-31-5630872
PT. CIPTA ALAM INDAH,62-31-72088111
EMANUEL MULTI SARANA,62-31-7348563
"PATENT, MERK/TRADE MARK DAN BIDANG HKI LAIN2 BNL TROIS",62-31-72017199
PT. GLOBAL FREIGHT CONSOLIDATAMA,+62-31-7310403
PF-COINS,6281330053308
BALI MORNING,81332371800 (+62-81332371800)
TATSU SWORDS,62318545641
CV. PRIMA,031-71390990 (+62-031-71390990)
KURNIATRADE,62811311962
KELOMPOK TANI MANDIRI BERDIKARI,+6231-8853883
PT JAMBUMETE DOUDO TBK,6285646024621
CURCUMA TOKO JAMU,6285649005326
JADI JAYA,031-8968839 (+62-031-8968839)
UD JASA SIAGA,85645878927 (+62-85645878927)
ISPAT INDO,62317887000
PT. MERMAID TEXTILE INDUSTRY INDONESIA,+62 321 322411
SM GARDEN,6281703640096
PT. ASAHIMAS FLAT GLASS TBK.,62-31-7882383
CV DUAHATI COLLECTION,+62 81 654 354 94
RANA NURSERY AND GARDEN,0354-545791 (+62-0354-545791)
PT AND,62-81-23013325
ASIA HOLIDAY,62315981684
CV SINAR ABADI SURABAYA,62-31-70013888-89
CV. DAYA PARANG,62-31-3768378
NIRWANA BAMBOO,+62-322-312851
PANJI MAS TEXTILE,6285648069564
NYAMLENG5758,8883810305 (+62-8883810305)
BAYU CAKRA LESTARI (INDUSTRI SABUN MANDI),6285649319189
UD.BKM,623160583156
SEDULURGROUP MEDIA,0321-490106 (+62-0321-490106)
WAHANA SEJAHTERA BERSAMA (WSB),62-31-8983228
PT.ASPI,62-(0)343-854240
PT. SEA WOON INDONESIA,62343642111
"KENCANA INTAN CIPTA, CV",62343639369
CV. DAUN LIMA MEDIA,+62-31-5687567
GRATECH INDONESIA,+6231 7090 4264
D2D TRADING & AGRICULTURE,+62-031-60104322 / +62-031-60214222
KOMPUTER28,62 31 5673816
CV DAUN LIMA MEDIA,62-31-5687567
Undefined,62-31-5687567
ARSOUVENIR,81331079834 (+62-81331079834)
PT. CENTURY BEARINDO INTERNATIONAL,62-31-5357878
CV. BAYA'SUT,+62 31 70917505
SPM,+62 818 0303 2277
YOHANA,031 7067 3885 (+62-031 7067 3885)
Undefined,031 7067 3885 (+62-031 7067 3885)
LOUDER,031-70786603 (+62-031-70786603)
KWOK TRADING CO,031-5993755 (+62-031-5993755)
GLOBALINDO TRADING CO,623170509082
PT BERINGINMAS JAYA ABADI,+62 31 5982293
LONDREE SOLUTION PT,62 031 72366029
PT LAUNDREE SOLUTION,3172366029 (+62-3172366029)
PT. PATOCHEMI MURNI ADITAMA,031 - 71635802 (+62-031 - 71635802)
ROSE,0331 487554 (+62-0331 487554)
PT.TIGA MUTIARA RUKUN SENTOSA,62-341-824424
TUNGGAL CELLULAR,6285649612015
Q.LINE PRODUCTION,623170361227
CV. ANUGERAH COCONUT PRATAMA,62-31-8290095
SELECTA FRUITS,(62) (31) 8299044 (+62-(62) (31) 8299044)
FARUK ENTERPRISE,62318290529
L'VEE STATIONERY,031-8281061 (+62-031-8281061)
IC DESIGN,62-31-8290015
CV. CIPTA INDAH PERKASA,62 31 8281492
IT SOLUTION,031-8286689 (+62-031-8286689)
PT.HARI BAHTERA UTAMA,+62-31-5689350/5689349
SAMUDERA WARNA,62315322135
SKY TRADING,031-5322135 (+62-031-5322135)
CV.SEVEN EASTERN STARS,62-31-3716100
MEY SALON,+6231-7991361
DNET,031-5480500 (+62-031-5480500)
"REKAVISITAMA, INC","+62341 6106577, 559 529"
OEI TRADING COMPANY,+62-31-734-5000
GRAHANET,031-70117827 (+62-031-70117827)
NIHAN SHOP,62-31-70009820
CV MAWA TITAN,privat (+62-privat)
PT. TIGA BINTANG TERANG,+6231 - 356 5158
PT. NUSA CIPTA SARANA,+62-31-8202171
TOTAL TRADE1,62-31-8202 101
TRASPAC SOLUSI E-GOV,+62-31–8250048
PT. LINTAS JAYA MANDIRI,+62 31 8275167
"RADIAN MULTI PRIMA, PT",0341-7308099 (+62-0341-7308099)
SWAROVZKI ROSE GOLD,62-31-71600382
ANIMEZET.COM,081 332 978688 (+62-081 332 978688)
CV.RACITAALAM,3171942525 (+62-3171942525)
HYDROPONICJELL,62317532621
MITRA TRADING,620317888003
PALUGADA,+62 31 71644005
ZIGMA COMPUTER,62 8155118321
SURYA CELL,623170634142
CV.AMANAH JAYA,62317669794
UD. SANCTITAS VERITAS,8123241600 (+62-8123241600)
ASTAMEDIA,+62 341 475218
SEMANGGI WAHANA REKA,62-817-5160471
MITRA GRAND MEDIA,+6231-71611892
INTERMEDIA-INDO,62318948546
BANDUNG MOBILECONS,+62 341 555 091
HARUKI_SOUVENIR,62-31-72111144/081 33 333 0144
PT. ANUGRAH KARUNIA JAYA (JATIM BRANCH),(62-321)331710 (+62-(62-321)331710)
PROEDDIT.COM,623416341342
AZIZ_HAKIM_ALFIA,81333533106 (+62-81333533106)
SETIA KARYA ENGINEERING,"+62(031)70403001,+6281331441878"
UD. KIAN JAYA,65-08155083076 (+62-65-08155083076)
PT. ANUGERAH JATI UTAMA,62-343-655600
SISIDUA GRAPHIC DESIGN,062 031 71347733
SISISATU DESIGN,062 031 71347733
Undefined,062 031 71347733
PRIMA GSI ENGINEERING,623160575060
PT.PEFF,62317664712
MICROMEDIA,623170065365
VANDA INDOCHEM,"62-31- 847 1169, 847 1057"
PT SIDOMULYO PATUK PULO,62-31-70470999 (NO SMS!!!)
STRATEGIC FINANCE CONSULTING,62-31-71083956
BALI COMPUTER,(62) 31 5355538 (+62-(62) 31 5355538)
CV.KARUNIA MULTI PRIMA,62-31-5321778
BIMAC INDO PERKASA,"(031) 3521119 , 3821127 (+62-(031) 3521119 , 3821127)"
EIGHT SQUARES,62318781918
PT. EXPRESSINDO JAYA MANDIRI,62-31-3541485
STEELSCOUT- INDONESIA REPRESENTATIF,+62 31 70660102
THE NICOLEZ,+886 3 3870135 (+62-+886 3 3870135)
DATINGSERVICES,62-817370499
FENSHI TOYS SHOP,6281334408984
ELINDO RAYA,628562856020
PT. NIVAS INDONESIA,031-60339330 (+62-031-60339330)
UD. SUMBER MULYO,+62-353-881025
CAPTAIN KIDD,81334447979 (+62-81334447979)
BOAT_DESAIN,81703337505 (+62-81703337505)
PERDANA PAINT AND REPAIR,62341324660
BENING SOLUSI COMPUTER,62-0755-23096
ZZEEN INTERNUSA,+62-343-741024
RANGGA'S LEAF,623317759088
CV.BOUROQINDO,+62334-881289
CAKRA,0341-563553 (+62-0341-563553)
PT. DOM ARTHA SAMUDERA,+62 (31) 3561262
KARTIKA CATTERY,62-341-7007778
HIJAUDECORATION,623417746770
STAR NOODLE HOUSE,031-3763470 (+62-031-3763470)
EUREXIM,031 828 7729 (+62-031 828 7729)
OCTOPUS NETWORK INDONEISA,62318270653
YANDESFEGAL GROUP,031-5940332 (+62-031-5940332)
CV.TOP 99,++623172323859/+6281553755281 (+62-++623172323859/+6281553755281)
UD ALAMIAH,623172086975
PT. GAC SAMUDERA LOGISTICS SURABAYA,+6231-7495187
MOJOKERTO GALLERY,81330590558 (+62-81330590558)
HARI ADVERTISING,0321-326641/081553985919 (+62-0321-326641/081553985919)
PT. MITRA NIAGA JAYA MANGGALA,+62-31-5044699
BERASAN ECHO,62-341-8664642
MITRA KANTOR,81330786858 (+62-81330786858)
ANNISAWEB,628164290318
ARTORIUS COMPU SUPPLY,+62-811340874
"KALSITECH PRIMA, PT.",62-31-70101080
KAYU MERAPI INTERNUSA,62-31-3951958
KAWI JAYA MAKMOER,+62 31 70709085
UNTUNG BERSAMA FARM,031-7482730 (+62-031-7482730)
PT GOLDEN PHAROS LTD,62-31-7480790
PT. PIONEER ASPHALTIC INDONESIA,+62 31 748.0483
CV_INDIKA_SEJAHTERA,+62 31 721676
JAVASTONE,62-0321-491220
JATI MULYA,81319934422 (+62-81319934422)
CV.SAMUDRA PLATINDO,62818302222
NEO IMAGO,61318419966 (+62-61318419966)
ARTHO AGENG ENERGY,031-8483891 (+62-031-8483891)
KAJUWARA TEXTILE,62.81.79336986
EMPKANGEAN LIMITED,62318417684
FRESH WATER UNGGULAN,+62-31-5991827
KOPERASI KAREB,0353 881032 (+62-0353 881032)
BLINK NAIL POLISH,62-31-71719936
MAINTENANCE MANDIRI,++6231 8296402 (+62-++6231 8296402)
PJ LOGISTICS,81331756755 (+62-81331756755)
ONDINEFARM,3170077887 (+62-3170077887)
CV MITRA ABADI SEJAHTERA,+62-341-598863
WINDSTRICH ENGINEERING,+62 341 7777715
KIOS TANI SANIBUSINESS,8155558360 (+62-8155558360)
CV AGRO PUTRA MANDIRI,0341-7646786 (+62-0341-7646786)
KOTATZU TABLE,8883003131 (+62-8883003131)
WWW.MESINMAKANAN.COM,062-031-70805570
CV FORTUNA SAKTI INDO JAYA,628123179699
TAMARIA COLLECTIONS,031-8540487 (+62-031-8540487)
CV_SANJAYA2000,031 546199827 (+62-031 546199827)
CV GLOBAL MITRA SELARAS,0342-807914 (+62-0342-807914)
ZERO,8885165631 (+62-8885165631)
CV.MASAHARU TECH,62-31-8012588
DISBUN,318291990 (+62-318291990)
SLAMETSCRAPINDO,6285645949652
CV SYIFA MULIA,62-31-72511000
OBC TOUR,628175152464
OCELOT TOYS,+62-341-6266828
PT JAYA SAKTI SEJATI,62313282065
INDO MINING,8882817676 (+62-8882817676)
ADI VIESTA INVESTAMA,62-331-7820947
PT INDADI SETIA,62-31 3282633
JAY'S PLACE,062-0888-3509808
BRICT PRODUCTION,+62-341-427874
SAGI_PURNI,6281803833915
PUSAT KAJIAN MINYAK DAN BISNIS BOJONEGORO DI ITTEK,81615819990 (+62-81615819990)
INDOTAMA MULTIMEDIA,3585513241 (+62-3585513241)
PK PERDAMAIAN,317668787 (+62-317668787)
PT WISATA UTAMA,62351473756
TAKTAU,341588186 (+62-341588186)
ANAKKITA,031-8706855 or 031-71637043 (+62-031-8706855 or 031-71637043)
YAYASAN SENTRA MEDIKA,031-8282855 (+62-031-8282855)
PT INDOCHITO INTERNATIONAL,+62-31-8540647
WKUGROUP,81359528872 (+62-81359528872)
GRIYA KREASI KENCANA,3170084221 (+62-3170084221)
BATARA SUARA SAKTI,62353885258
TIRTA HASIL,62-08155280489
PT SNS,031-7888888 (+62-031-7888888)
NATURE_GALLERY,62-341-8127088
SEROJA,6285648732627
YUSFIAN,8123154172 (+62-8123154172)
BOSS RULLY GROUP,+62 355 327726
NAMBO,031-72627858 (+62-031-72627858)
Undefined,031-72627858 (+62-031-72627858)
KARYA MUDA PERKASA,031 71349193 (+62-031 71349193)
PT. PANCA CREATIVE PAPERINDO,62-31-8916700/1
MUTIARA FAJAR CV,+62-317107295
NIAM,85645784795 (+62-85645784795)
INSTITUT TEKNOLOGI NASIONAL MALANG,8123271600 (+62-8123271600)
TENUN IKAT TRADISIONAL PANDAN SARI,0343 631137 (+62-0343 631137)
THERAPICOMP,O31-70642900 (+62-O31-70642900)
PT MULTI BINTANG INDONESIA TBK,6231592502
NIKOLAS STAGE,+62-341-7766314
YAYASAN SITI FATIMAH,62 343 633647
NOTARISPASURUAN,62343636908
PT RIKIO INDONESIA,0341-425102 (+62-0341-425102)
PT SINAR TEKNIK INDONESIA,62313951828
PT. GANESHA CITRA MANDIRI,+62-335-772226 or Mobile: 08123453196
CV ANELA SURIMI FOOD INDUSTRY,85935365630 (+62-85935365630)
PT ISTANA CIPTA SEMBADA,62 31 8532200
PT.FORINDOPRIMA PERKASA,(031)8973477 (+62-(031)8973477)
MALINDO CORPORATION,318722018 (+62-318722018)
SUMBER_REDJEKI-RENT CAR,031 8706561 (+62-031 8706561)
AMI,+62-81359610838
RRABADI,031-71364337 (+62-031-71364337)
BENTUMAN,3547034242 (+62-3547034242)
CV STARINDO,+62 341 63 55 777
PRIMATECH PERSADA,(0351)745977 (+62-(0351)745977)
DONI TETELEPTA,62 081 55102082
PT HM SAMPOERNA,628176853227
CV HAMANUGRAH MELIMPAH TRADING CO.,+62 31 8540446
CV METAL SCRAPINDO,031-60335290 (+62-031-60335290)
CV_MITRA_PERSADA,031-60335290 cdma (+62-031-60335290 cdma)
PT FK MASSIMO,62313532754
MATAEMAS96,08123167650 / 623317838481 / 62331-483079 (+62-08123167650 / 623317838481 / 62331-483079)
AWANTO PAINTINGS,062-0341-466931
AWANTO ART,0341-466931 (+62-0341-466931)
PT. WISNU BARA UTAMA,+62 8123890001
CV PRIMEDIF,3415412301 (+62-3415412301)
ANDROMEDA-INDO-POWER,62334881728
BOS RULLY,62341565409
CV. SUMBER SELO JAYA,+62 818386966
SENTRAL MURBAUT,62-31-3535022
KALEDIA KOMPUTER,62-852-34922234
"PT. PETROKIMIA GRESIK, INDONESIA",62-31-3982100
CV. MAJU MAKMUR,62341482019
OCTO CORINDO SARANA,62318556230
PT. SAMAKARYA SINGGASANAJAYA,62318289393
PT. UNITED MOTORS CENTRE,031-71455255 (+62-031-71455255)
CV- . SUNHYANG. CO. LTD,0818.0500.6713 (+62-0818.0500.6713)
CV. DEICO,+62-81-23413131
PT.PLATINUM CERAMICS INDUSTRY,062-31-5312358
LEMBUSORA,+6281-359-566916
GREEN 'N HEALTH,0341 - 774 7570 (+62-0341 - 774 7570)
MICHELLE COLLECTION,+62-321-495462
AIRSOFT GUN - OCELOT TOYS,+62-341-62-66-828
AXIOS KOMPUTER,628123437549
CV.WAHYU,+62 31 5997783
UD. DWI SENTOSA,62318681405
CV GRAHA INDAH PRATAMA,+62-341-420337
MHK ( MELATI HARUM KARYA ). CV,+62031-5355960
CV. INTI TEKNOLOGI,031 60462442 (+62-031 60462442)
UD RONALD,81328315999 (+62-81328315999)
CV. BUMI WIJAYA,+62-31-70395520
AGROMINA INDO RAYA,( 0335 ) 761 9381 (+62-( 0335 ) 761 9381)
HARDSTONE PAVING,031-7668829 (+62-031-7668829)
AGUNG POULTY SHOP,+62-342-801715
ALUN ALUN OFFSET,62-354-772944
AL GHIFARI AGROMEDIA,+62341 5463567
TJ_GUNAWAN,81334446789 (+62-81334446789)
BIBBOX,623417747008
KRYUX FRUIT CHIPS FOOD,623415448005
ADI JAYA CO,3217299608 (+62-3217299608)
PT. KOJASERA TANJUNGWANGI,62 31 7412377
LANGITNET,62-31-5045257
MICROTIKA,62-031-5019601
CHESS SET,81331337297 (+62-81331337297)
PT. PEMBANGKITAN JAWA BALI,+62 0341 385545
PT. PRATAMA LOGISTINDO,+62 31 547 2232-3
ALL STAR LOGISTICS,62-31 70402222
PT. MEGACAHAYA TEKNIKATAMA,62-31-8471115
FADHILLAH RENT CAR,62-341-564178
UD MITRA ULUNG,811491496 (+62-811491496)
PT. SARANA MUSTIKA UTAMA,62-31-788-1743
PT. RADIO AKASHI PRIMADONA,623427705672
BIMASAKTI,+62-341-5432743
CV. KARYA PUTRA PASIR PUTIH,62-21-7534545
INDONESIA INK CORPORATION,62-31-5996050
Undefined,62-31-5996050
"TAN'S COMPANY ( BOOMING HOOKERI, ANTHURIUM, JEMANII, ADELIA )",+62818 0566 2155
PT. RIMBA SEMPANA INDONESIA,62-335-422823
PRASETYANINGRUM,62-31-5017160
RN CHEMICALS,+62-08155203377
CV. PRIBADI,62.31.5040600
PT. GLORIA SCIENTIFIC ABADI,+6231-5028644
CV. CITRA BUANA ABADI,+62-31-5053560
TONY CORPORATION,62-351-456783
PT. SINERGI POWER INDONESIA,+62 31 568 9289
SUNPELAGIC,62 333 593371
PT. BENTAR WISATA,62-31 8672229
WW BROTHERS,62-0341-7634123
ZUHRIMUDA,0341 8650646 (+62-0341 8650646)
YUSARI SUKSES MAKMUR,62-31-5465358 or 62-31-5465548 or 62-31-70102019
VICTORY KARYA TAMA,+62-816-5452154
JAYA FEED,privat (+62-privat)
EIGHT BROTHERS,"031-71097979 , 081330917979 (+62-031-71097979 , 081330917979)"
WINNERTECH - PRODUSEN LABORATORIUM BAHASA,62341496135
JENGGOT_NAGA_NURSERY,8567483746487 (+62-8567483746487)
PT. HARJATAMA SENTOSA,313538974 (+62-313538974)
TAX SOLUTION,62-8881511393
KALASAN29,62-341-497391
KOTAKOM MALANG,+62-341-472033
CV. SETIA,62-333-424209
ZILDANI JEWELLRY,0343 - 7741812 (+62-0343 - 7741812)
PUSAKA NURSERY,8563628331 (+62-8563628331)
BUKUKULIAH.COM,628563386017
CV. TEKNIK AGUNG,62-31-5681757
APOTEK 99 MEDIKA,62-341-478822
OPERKREDITCOM,62-341-473710
NUSA INDAH FARM & NURSERY,62-0335-420143
MAINAN CHILDREN TOYS AND COLLECTION,0852-333-932-11 (+62-0852-333-932-11)
ANGGADA TOUR & TRAVEL,0341-5424085 (+62-0341-5424085)
TERNAK BELUT,62-341-7060959
HIDAYAH JAYA MAKMUR,62-31-71958684 / 71533922
FADIATAMA,031-5617168 (+62-031-5617168)
BRAIN EDUCATION,81333132178 (+62-81333132178)
P.T ALFA JAYA BARU RAYA,623170602008
Undefined,623170602008
PT. DINAMIKA TEKNOLOGI INDONESIA,62-31-5030748
UD. PENDOWO,+62 354 681494
PT. TRIANUGERAH SEJATI,+62 31 5675112
PRADHITA,(0342) 802418 (+62-(0342) 802418)
CV. RIZKYPUTERA,62-343-772165
MADIUN SPICES HOUSE,62-0351-495479
UD TJAHAYA,0355 322293 (+62-0355 322293)
CV_MIRACLES,62-31-8061822
CV. KARTINI MOTOR,62313985145
PETERNAKAN TAWON RIMBA RAYA (RIMBA RAYA BEE FARM),62-341-425476
PEMDA GRESIK,62313955333
CV DAUN LIMA,3160337727 (+62-3160337727)
PT_JUARSA_TUNGGAL,+62-31-60182026
GIOVANNY BEDSHEET,62-31-5618292
PT. SURYA PURNAMA SEMESTA,"031-8536388, 031-8547890 (+62-031-8536388, 031-8547890)"
FAJAR UTAMA,+62-31-8679332
INTAN MULTIMEDIA ART DESIGN,+62-334-7711107
CV. BANGUN PERKASA,031 72548859 (+62-031 72548859)
OCEAN COMPUTER,+62-31-3713034
FLAMBOYAN12 GROUP (FDB),62-31-60130354
CV. CIMITRA,62-31-3816020
GARUDA ENGINEERING,62-341-553132
P.T.PIKKO.NET,62-333-7718788
LAKPESDAM NU JOMBANG,623217250091
KOPMA PADANG BULAN,0341 574348 (+62-0341 574348)
VARIA INDO PRIMA,+62 321 861023
CV DWI KARYA BEKTI,+62.31.8297660
SOLUSIWEBSITE.COM,+62 31 70204040
ORANGNDUT.COM,62-351-482358
PT. GSS,031 3720525 (+62-031 3720525)
UD TERUS LANCAR,62-31-3714635
WAHANA BUSANA INDAH,62-31-70621038
CV.TIGA SEKAWAN,623172097338
RISCO COMPANY,+62341 474510
LOTENG AGUNG,62-081803006127
SISDA CORPORATION,ina-sby-03172769792 (+62-ina-sby-03172769792)
EVE PAGAR AYU,623171449085
KATAHATI,62317208497
CV. HAQIN JAYA SURABAYA,62-31-5047448
RICKY ANTIQUES,+62-31-5031720
CV. PUSLIT INDONESIA,031 70766901 (+62-031 70766901)
WIMAZ KARTIKA LESTARI,62-338-893914
VXYN COMPUTERS,+62-324-332335
CV. HARTONO BORING,+62-341-498788
PT. KEIVAN BERSAUDARA,62-31-3562311
Undefined,62-31-3562311
SIP SALES,62-342-816469
PT. GG NASIONAL INDONESIA,62.31.740.9686
PT. CITRA MULIA BARU,62-31-8054434
CV. GLOBAL JAYA MEDIACOM,62-31-70931234
SURYA RENT CAR,623170101245
SOFTWARE STORE,+62 31 3526719
CV. KARYA CIPTA MANDIRI,6231-71491619
DND COLLECTION,628123584903
DIGUL MULTIMEDIA,62-341-551240
INTIPRIMACO,62-31-3522599
MINIATURINDO,081.330.397.936 / 0888.2929.833 (+62-081.330.397.936 / 0888.2929.833)
"TEGUH MAJU BERSAMA, PT.",62-31-5345125
ABADICELL,623517717523
PT. GLOBAL SUPPLIER INDONESIA,62318673301
PT. RADIO ERA BIMASAKTI SELARAS (EBS 105.9 FM),62-31-5037581
VICTORY TRADING,+62-31-8921388
TIMPEDULILINGKUNGAN,62318475924
RUMAH DESAIN ZIGMA,+62-31-70687111
SIP COMMUNCICATIONS,623171505656
BUTIK SORAYA,62-31-8495988
PT. DIPTA SUNRISE NUSANTARA,62318491067
PT ITALINDO MAS PREKASA,62318477173
SMKN 1 DLANGGU,+62-321-513093
TRI UTAMA KENCANA,62-0341-7552218
SAE,062-0352-483583
WINZCOMP,72030503 (+62-72030503)
WONGMAD FURNITURE,+62 81320347377
PT ASURANSI JASA INDONESIA,+62-354-694958
IDEAL SEMBILAN,62341565557
INDRAMURTI INTERNATIONAL INC.,628563541375
CV. DUTA UTAMA INTERNATIONAL,62-31-7006-2828
BIMA'S CAKE SHOP,0322 - 318268 (+62-0322 - 318268)
MUTIARA CITRA COMPUTER,62-31-8922154
CV MALANG MITRA MANDIRI,623417370737
VARLIE SPLASH AROUND,- (+62--)
MAZMUR MOTOR,62-31-5458191
UD. EMMA JAYA,031-3542616 (+62-031-3542616)
PT.STEEL PIPE INDUSTRY OF INDONESIA,+62 31 5320921
LILIA FLORIST SURABAYA,031-7092 1179 (+62-031-7092 1179)
ARBETA INDO RAYA,62818376111
CV. REKAYASA TEKNIK PERSADA,(62)-031-70420021 (+62-(62)-031-70420021)
FKM UNEJ,0331-322995 (+62-0331-322995)
ASBATEX :: PUSAT GROSIR BUSANA MUSLIM | BAJU TAQWA | SONGKOK | SARUNG,031-71055602 (+62-031-71055602)
RIEFCORP,62-31-71050281
KANTOR KITA,062-31-5949490
DUNIA PECEL,81333239019 (+62-81333239019)
SINAR JAYA SURABAYA,- (+62--)
NAGA MAS SPUNBOND INDO,"62-31-70671188, 62-8563365388, 62-8195618968"
FARINA CATERING,62-31-8280341
ALAM TELECOMUNICATION,62318270484
CV. SUMBER HUTAMA,062-31-70018123
AUDIO LAB,+62-031-5031181
TRIJAYA ARTHA LAKSANA,+628135 7978875
"BARA API UTAMA, PD",62318954503
INDY GROUP,62-341-7010213
GRAPHIC-CAD,62-31-8284318
CV DIAN,+62813-17629997
JAVAMEDIA INDONESIA,62-31-5472225
RIKASCRAFT,031-7672117 (+62-031-7672117)
A4 FAMILY,628885339220
CV. BERSAMA BINA BANGSA,62341753073
PT. PATRIOT MEDIA ARTHA,62-31-354-2418
ABADJEFLORATRADING,031 7882718 (+62-031 7882718)
SMKN 1 BLITAR,620342801947
Undefined,620342801947
PT GRASIA,623160203646
IT'S SOLUTION,62817371222
ASY SYIFAA' HERBAL INDUSTRY,62-81330689721
VISTAMITRA,"+62 31 70473416, +62 31 70578323"
JAVATOURISM.COM [LINTANG BUANA TOURS ONLINE],62-31-8434556
PT. PROMEDIA CITRA INFORMATINDO,62-31-70045557
CV. TRIJAYA,0341-585457 (+62-0341-585457)
AIRBENING FLORICULTURE,+62-342-810558
CV FINDIRA MANDIRI,+62 0341 358987
MESINDO INDONESIA,062-03170963572
PC SOLUTIONS1000,3171367355 (+62-3171367355)
CV. PALLAWA GAU,0335 - 423 707 (+62-0335 - 423 707)
KORIN INTI WIRA ENGINEERING,+62 31 8706492
CIPTA KARYA MANDIRI,"+62-341-7059603,7710711"
ATIRAPRINTING,623417758386
PET NETWORK,+62 31 6010 4302
UD. ALI MUCHSIN,62-341-351138
CV. CORNERSTONE ART,8123232523 (+62-8123232523)
KANWILPOS VII,62313520033
PT TOKO MESIN MAKSINDO (TOKOMESIN.COM),"0341-324443, 0341-351708,0341-7711871, 7770016, 08123386165 (+62-0341-324443, 0341-351708,0341-7711871, 7770016, 08123386165)"
PT. SARI NIAGA MANDIRI,62-31-70922589
CV CEKIKO,623171628636
MICRONICS INTERNUSA DELL,+62-31-5457480 - 5457041
PT INFOMEDIA NUSANTARA,62315326282
UD. SUMBER SARI,62-31-71573683 (FLEXY)
CV SURYA BESAR MAKMUR,+62-31-72165257 / 081357535545
SURYA WIRATAMA JAYAMANGALANI,+62-341-777213
ROYAL SUPPLIER,62 31 60496271
OXO AGRO,62-31-8479194
PENGHUBUNG COMPANY,62-81 55 120 485
CV. HASTANINDO KURNIA SEJATI,62 31 6286266
HERU_WAWAN_CORP,+62-331-428514
PT. DANAMON CILACAP,62-0282-533639
CV. BINTANG MAS EQUIPMENT,62313810906
VEDYS COLLECTION,628155122378
MAXCOM DIGITAL PRINTING,0332-7706664 (+62-0332-7706664)
SURYA KOMPUTER,031-71174326 (+62-031-71174326)
ON COMPUTER,62-31-60108173
OKPULSA,3170003360 (+62-3170003360)
PT. INDUSTRI COLLAGEN INDONESIA,+62 343 613888
TITORIUM NURSERY,6281559986111
PADEPOKAN ASAR,62-331-325908
AMITRATECH,6281331638129
MISKA RENT A CAR,031-71781090 (+62-031-71781090)
SINAR INTI TEKNOLOGI,62315926097
WAHANA DATA COMPUTER,031-5935799 (+62-031-5935799)
ADELIA PRATAMA,031-3930039 (+62-031-3930039)
ZEN'S ADENIUM,031-72079705 (+62-031-72079705)
PT BAJA TEHNIK REKATAMA,+62 31 748 1770
BATAVIA TRADING,+62 31 7492649
PT. ANTIKA RAYA,62-31-70602008
MTL INDONESIA,031-7346390/7346040 (+62-031-7346390/7346040)
SNAPPISH SHOP,6285649988977
CV. GOLDLAND,62-31-878 3224
CV. KREASI BALI,62-31-60108935
CV. TUNAS KASIH,"0331-487230,7706910 (+62-0331-487230,7706910)"
PT. THEBEZ,ethebez@telkom.net (+62-ethebez@telkom.net)
MOJOPAHIT,62-031-8941958
AL MUBAROK COMPUTER,62-356-321953
PRO MAGIC COURSE,81703359872 (+62-81703359872)
KAPAS WEB DESIGN,6285230938013
CITRASAMUDRA,623417733339
MIT BRAWIJAYA,62341587710-285
